DISTRICT NAME,ALLOTED WARDs-SSAs,WARDs-SSAs SURVEY_DONE,HOUSEHOLD COVERAGE-%
Adilabad,563,563,100.00%
Agar Malwa,146,146,100.00%
Agra,668,668,100.00%
Ahmadabad,359,359,100.00%
Ahmadnagar,587,587,100.00%
Aizawl,89,89,99.80%
Ajmer,488,488,100.00%
Akola,405,405,100.00%
Alappuzha,438,438,100.00%
Aligarh,670,670,100.00%
Alipurduar,225,225,100.00%
Alirajpur,133,133,100.00%
Allahabad,630,630,100.00%
ALMORA,233,233,100.00%
Alwar,645,645,100.00%
Ambala,234,234,100.00%
Ambedkar Nagar,408,408,100.00%
Amethi,422,422,100.00%
Amravati,732,732,100.00%
Amreli,331,331,100.00%
Amritsar,459,459,100.00%
Anand,385,385,100.00%
Anantapur,974,974,100.00%
Anantnag,42,42,100.00%
Anjaw,4,4,100.00%
Anugul,241,241,100.00%
Anuppur,180,180,100.00%
Araria,463,463,100.00%
Ariyalur,271,271,100.00%
Arvalli,261,261,100.00%
Arwal,151,151,100.00%
Ashoknagar,201,201,100.00%
Auraiya,232,232,100.00%
Aurangabad,374,374,100.00%
Aurangabad,582,582,99.89%
Azamgarh,816,816,100.00%
Badgam,20,20,100.00%
Bagalkot,429,429,99.98%
Bageshwar,118,118,100.00%
Baghpat,309,309,99.96%
Bahraich,561,561,100.00%
Baksa,149,149,100.00%
Balaghat,478,478,100.00%
Balangir,307,307,100.00%
Baleshwar,385,385,100.00%
Ballia,492,492,100.00%
Balod,246,246,100.00%
Baloda Bazar,316,316,100.00%
Balrampur,199,199,100.00%
Balrampur,266,266,100.00%
Banas Kantha,577,577,100.00%
Banda,378,378,100.00%
Bandipore,12,12,100.00%
Bangalore,350,350,100.00%
Bangalore Rural,295,295,100.00%
Banka,513,513,100.00%
Bankura,603,603,100.00%
Banswara,350,350,99.96%
Bara Banki,536,536,99.99%
Baramula,16,16,100.00%
Baran,352,352,100.00%
Barddhaman,1131,1131,100.00%
Bareilly,871,871,100.00%
Bargarh,283,283,100.00%
Barmer,446,446,100.00%
Barnala,158,158,100.00%
Barpeta,247,247,100.00%
Barwani,378,378,100.00%
Bastar,167,167,100.00%
Basti,727,727,100.00%
Bathinda,351,351,100.00%
Baudh,84,84,100.00%
Begusarai,478,478,100.00%
Belgaum,830,830,99.95%
Bellary,487,487,100.00%
Bemetara,222,222,100.00%
Betul,433,433,100.00%
Bhadrak,255,255,100.00%
Bhagalpur,495,495,100.00%
Bhandara,322,322,100.00%
Bharatpur,601,601,100.00%
Bharuch,306,306,100.00%
Bhavnagar,442,442,100.00%
Bhilwara,538,538,100.00%
Bhind,388,388,100.00%
Bhiwani,248,248,100.00%
Bhojpur,408,408,100.00%
Bhopal,229,229,100.00%
Bid,395,395,100.00%
Bidar,276,276,100.00%
Bijapur,395,395,99.98%
Bijapur,84,68,100.00%
Bijnor,1291,1291,100.00%
Bikaner,365,365,100.00%
Bilaspur,403,403,100.00%
Bilaspur,145,145,100.00%
Birbhum,623,623,100.00%
Bishnupur,78,78,100.00%
Boatad,137,137,100.00%
Bokaro,250,250,100.00%
Bongaigaon,133,133,100.00%
Budaun,626,626,100.00%
Bulandshahr,655,655,100.00%
Buldana,707,707,100.00%
Bundi,312,312,100.00%
Burhanpur,164,164,100.00%
Buxar,294,294,100.00%
Cachar,279,279,99.62%
Central,25,25,100.00%
Chamarajanagar,234,234,100.00%
Chamba,172,172,100.00%
Chamoli,183,183,100.00%
Champawat,118,118,100.00%
Champhai,23,23,100.00%
Chandauli,185,185,100.00%
Chandel,28,28,100.00%
Chandigarh,136,136,100.00%
Chandrapur,505,505,100.00%
Changlang,16,16,100.00%
Chatra,164,164,100.00%
Chennai,112,112,100.00%
Chhatarpur,535,535,100.00%
Chhindwara,769,769,100.00%
Chhotaudepur,249,249,100.00%
Chikkaballapura,340,340,100.00%
Chikmagalur,396,396,100.00%
Chirang,119,119,100.00%
Chitradurga,441,441,100.00%
Chitrakoot,183,183,100.00%
Chittaurgarh,425,425,100.00%
Chittoor,1332,1332,100.00%
Churachandpur,45,45,97.43%
Churu,545,545,100.00%
Coimbatore,909,909,100.00%
Cuddalore,1028,1028,100.00%
Cuttack,446,446,100.00%
Dadra & Nagar Haveli,35,35,100.00%
Dakshin Bastar Dantewada,131,112,100.00%
Dakshin Dinajpur,316,316,100.00%
Dakshina Kannada,383,383,100.00%
Daman,17,17,100.00%
Damoh,528,528,100.00%
Darbhanga,517,517,100.00%
Darjiling,353,353,100.00%
Darrang,136,136,100.00%
Datia,288,288,100.00%
Dausa,303,303,100.00%
Davanagere,346,346,100.00%
Debagarh,82,82,100.00%
Dehradun,161,161,100.00%
Deoghar,241,241,100.00%
Deoria,491,491,100.00%
Devbhoomi Dawarka,172,172,100.00%
Dewas,414,414,100.00%
Dhalai,80,80,100.00%
Dhamtari,216,216,100.00%
Dhanbad,305,305,100.00%
Dhar,494,494,100.00%
Dharmapuri,356,356,99.99%
Dharwad,224,224,99.67%
Dhaulpur,245,245,100.00%
Dhemaji,96,96,100.00%
Dhenkanal,265,265,100.00%
Dhubri,251,251,100.00%
Dhule,303,303,100.00%
Dibang Valley,1,1,100.00%
Dibrugarh,206,206,100.00%
Dima Hasao,50,50,100.00%
Dimapur,70,70,99.60%
Dindigul,685,685,100.00%
Dindori,175,175,100.00%
Diu,7,7,100.00%
Doda,24,24,100.00%
Dohad,276,276,100.00%
