Sr.No.,Region,State,District,Sub District,Center,Bank Group,Bank Name,Banking Channel Name,Part1 Code,Part2 Code,Population Group,AD Category,License No.,License Date,Address,Banking Channel Type,Sub Type,MICR,IFSC,Date of opening
1,NORTHERN REGION,RAJASTHAN,JAIPUR,JAIPUR,JAIPUR (M CORP.) (PART),SMALL FINANCE BANKS,CAPITAL SMALL FINANCE BANK LIMITED,Laxmi India Finlease cap Private Limited,00006FBC0000000A,5000009,METROPOLITAN,,,,"Jaipur MI Road Jaipur,-1,JAIPUR,RAJASTHAN,302001",BC,Corporate BC,144545002,CLBL0000013,03-Jan-22
2,NORTHERN REGION,PUNJAB,JALANDHAR,JALANDHAR - I,JALANDHAR (M CORP. + OG) (PART),SMALL FINANCE BANKS,CAPITAL SMALL FINANCE BANK LIMITED,Agile Finserv Private Limited,00006FBC0000000B,3200008,URBAN,,,,"Near Kesar Petrol Pump 11 Ground Floor, City Square Building,-1,JALANDHAR,PUNJAB,144001",BC,Corporate BC,144545002,CLBL0000013,22-May-22
3,NORTHERN REGION,PUNJAB,JALANDHAR,JALANDHAR - I,JALANDHAR (M CORP. + OG) (PART),SMALL FINANCE BANKS,CAPITAL SMALL FINANCE BANK LIMITED,Exclusive Leasing and Finance Pvt. Ltd,00006FBC0000000C,3200008,URBAN,,,,"Adjoining TVS showroom, opp lane of Mc Donald, Jalandhar-144001 EZ Capital House,87, Radio Colony, Near BMC chowk,-1,JALANDHAR,PUNJAB,144001",BC,Corporate BC,144545002,CLBL0000013,19-May-23
4,NORTHERN REGION,RAJASTHAN,JAIPUR,JAIPUR,JAIPUR (M CORP.) (PART),SMALL FINANCE BANKS,CAPITAL SMALL FINANCE BANK LIMITED,Baid Finserv Limited,00006FBC0000000D,5000009,METROPOLITAN,,,,"IInd Floor , 1 Tara Nagar, Ajmer Road , Jaipur BAID HOUSE,-1,JAIPUR,RAJASTHAN,302006",BC,Corporate BC,144545002,CLBL0000013,14-Jul-23
5,NORTHERN REGION,RAJASTHAN,SIKAR,SRI MADHOPUR,SRI MADHOPUR (M),SMALL FINANCE BANKS,CAPITAL SMALL FINANCE BANK LIMITED,MDFC Financiers Private Limited,00006FBC0000000E,513A024,SEMI URBAN,,,,"Tehsil  Shrimadhopur, Sikar, Rajasthan, India, 332404 B-20 New Colony, Bhairuji Moad Ringus,-1,SIKAR,RAJASTHAN,332404",BC,Corporate BC,144545002,CLBL0000013,10-Oct-25
6,NORTHERN REGION,RAJASTHAN,JAIPUR,SANGANER,JAIPUR (M CORP.) (PART),SMALL FINANCE BANKS,CAPITAL SMALL FINANCE BANK LIMITED,Choice Finserv Private Limited,00006FBC0000000F,5000009,METROPOLITAN,,,,"Sumer Nagar, Mansarovar, Jaipur, Rajasthan -302020 32-A, New Sanganer Road,  Mahaveer Nagar,,-1,JAIPUR,RAJASTHAN,302020",BC,Corporate BC,144545002,CLBL0000013,13-Oct-25
7,NORTHERN REGION,HARYANA,JIND,JIND,PINDARA (72),SMALL FINANCE BANKS,SHIVALIK SMALL FINANCE BANK LIMITED,Jind,0000LFBC0000001C,3530641,RURAL,,,,"ali no 01, guhana bypas road Rajkumar shastri house, bharatnagar,-1,JIND,HARYANA,126102",BC,Corporate BC,,,03-Oct-23
8,NORTHERN REGION,HARYANA,KURUKSHETRA,THANESAR,PIPLI (PART)(360),SMALL FINANCE BANKS,SHIVALIK SMALL FINANCE BANK LIMITED,Kurukshetra,0000LFBC0000001D,3551112,RURAL,,,,"Near Central Bank Of India 43, Ladwa Road Pipli,-1,KURUKSHETRA,HARYANA,136131",BC,Corporate BC,,,03-Oct-23
9,NORTHERN REGION,RAJASTHAN,ALWAR,THANAGAZI,PRATAPGARH,SMALL FINANCE BANKS,SHIVALIK SMALL FINANCE BANK LIMITED,Pratapgarh,0000LFBC0000001J,5020371,RURAL,,,,"Near of Finova Capital, Village- Pratapgarh Kamal Fincap Pvt Ltd Thanagazi Road,,-1,ALWAR,RAJASTHAN,301027",BC,Corporate BC,,,29-Jan-25
10,NORTHERN REGION,HARYANA,GURUGRAM,GURGAON,GURGAON (M CORP. + OG),SMALL FINANCE BANKS,SHIVALIK SMALL FINANCE BANK LIMITED,Gurgaon,0000LFBC0000001M,3480008,URBAN,,,,"Sai Kunj, Bajghera Flyover, New Palam Vihar, Phase 3, Choma C241, Shri Laxmi Apartments, Graound Floor, Gali No. - 26,,-1,GURUGRAM,HARYANA,122017",BC,Corporate BC,,,28-Mar-25
