Branch Code,Branch Name,IFSC Code,Address,State
Br Code,Br. Name,IFSC Code,Branch Addres,State
0001,Worli,YESB0000001,"Ground And First Floor,Moti Mahal,Dr. Annie Besant Road,,Next To City Bakery, Worli, 400018",Maharashtra
0002,Fortune Global,YESB0000002,"Yes Bank Limited, G5, G6, Ff12 & Ff14, Fortune Global Arcade, Sikenderpur, Mehrauli - Guragon Road, Gurgaon - 122 002, Haryana",Haryana
0003,Chanakyapuri (Malcha Market ),YESB0000003,"11/48, Diplomatic Enclave ,Malcha Marg , Chanakyapuri, New Delhi-110021",Delhi
0004,Nariman Point,YESB0000004,"Part of 1 A/A, Ground Floor, Mittal Court, C Wing, Nariman Point, Mumbai – 400021",Maharashtra
0005,Chennai 1 - Nungambakkam,YESB0000005,"Yes Bank Ltd , No. 143/1, Uttamar Gandhi Salai,Nungambakkam,Chennai – 600 034(Opp. Hotel Park)",Tamil Nadu
0006,Hyderabad,YESB0000006,"Ground Floor, Mayank Towers, Survey No. 31 (Old). 31/2(New), Raj Bhavan Road, Next To Standard Chartered Bank, Somajiguda, Hyderabad 500082.",Telangana
0007,Ahmedabad,YESB0000007,"Unit No.G/3,102-103, C.G.Centre”, C.G.Road, Ahmedabad - 380 009",Gujarat
0008,Pune-Prabhat Road,YESB0000008,"Shop No. 1, Ivory Tower, Lane No. 8, CTS No. 39/6 & 7, Opposite Hotel President, Prabhat Road, Erandwane, Pune - 411004",Maharashtra
0009,Baroda,YESB0000009,"Ground and First Floor, Pelican Towers, Race Course Road, Vadodara, Gujarat - 390 007.",Gujarat
0010,Andheri (W),YESB0000010,"Ground Floor, Valecha Chambers, Plot B6, New Link Road, Andheri West, Mumbai, 400053",Maharashtra
0011,Surat,YESB0000011,"Ground floor and Part 1st floor, Dave House Plot No. 1 & 2, Navchetan Society, Opposite Krushi Mangal Hall, Majura Gate, Ring road, Surat, Gujarat - 395 001.",Gujarat
